position	token	attention_ms	ffn_provider_ms	reentry_ms	other_ms	total_ms	request_bytes	encode_us	roundtrip_ms	remote_ffn_ms	response_bytes	decode_us	worker_encode_us	transport_remainder_ms
27	11	9.201372	15.625629	0.079707	1.548667	26.455375	115696	25.833	15.466917	10.919169	115696	20.457	55.455	3.790043
28	2670	9.252998	15.681625	0.077252	1.537333	26.549208	115696	21.623	15.528791	10.93629	115696	18.501	53.836	3.817995
29	1246	9.427085	15.686957	0.079542	1.569083	26.762667	115696	21.501	15.532624	11.000336	115696	21.336	64.873	3.76958
30	39020	9.408707	15.598497	0.079296	2.135417	27.221917	115696	22.335	15.44896	10.980585	115696	21.544	54.294	3.702711
31	83161	9.323418	15.673	0.077374	1.516292	26.590084	115696	21.709	15.525664	11.008248	115696	18.167	59.128	3.776041
32	448	9.411918	15.502749	0.075708	1.468375	26.45875	115696	21.542	15.357667	10.937213	115696	18.668	52.794	3.684171
33	279	9.404751	15.508791	0.078375	1.466	26.457917	115696	22.333	15.360832	11.005039	115696	18.335	53.041	3.618665
34	16566	9.458998	15.613667	0.077085	1.591042	26.740792	115696	21.916	15.458961	10.97271	115696	23.88	52.789	3.762874
35	13	9.50554	15.60571	0.07775	1.501209	26.690209	115696	21.294	15.452375	10.953667	115696	21.501	51.961	3.755752
36	22406	9.473997	15.547791	0.07542	1.501417	26.598625	115696	21.956	15.399	10.970836	115696	18.75	53.331	3.666876
37	11	9.698583	15.578998	0.078461	1.519292	26.875334	115696	21.832	15.428624	10.991	115696	18.039	52.211	3.694828
38	10339	9.776168	15.507541	0.086666	1.589583	26.959958	115696	21.749	15.355211	10.918082	115696	19.959	54.251	3.676919
39	3170	9.657747	15.658875	0.075753	1.518583	26.910958	115696	20.915	15.511665	10.987958	115696	18.246	48.753	3.803748
40	279	9.681334	15.661627	0.087622	1.503917	26.9345	115696	21.458	15.496835	10.983668	115696	18.125	49.834	3.786123
41	12884	9.802749	15.389294	0.082041	1.492874	26.766958	115696	21.625	15.236046	10.848788	115696	24.457	51.5	3.646421
42	374	9.763624	15.665336	0.084123	1.610167	27.12325	115696	21.459	15.513502	10.966124	115696	22.165	50.079	3.831918
43	6303	9.894416	15.44875	0.076626	1.543458	26.96325	115696	21.538	15.295336	10.913752	115696	24.123	51.87	3.667546
44	11	9.901501	15.476545	0.078329	1.482041	26.938416	115696	21.25	15.331377	10.996333	115696	18.167	50.832	3.623085
45	2670	9.985959	15.486338	0.081537	1.58375	27.137584	115696	22.541	15.33446	10.860462	115696	18.874	51.708	3.731962
46	1246	10.110706	15.738416	0.08192	2.047583	27.978625	115696	21.791	15.586126	11.07792	115696	21.874	49.959	3.773084
47	39020	10.004289	15.778793	0.078334	1.570084	27.4315	115696	21.331	15.627083	11.113374	115696	21.335	51.294	3.797457
48	83161	10.053919	15.580709	0.082289	1.47775	27.194667	115696	21.583	15.432332	11.029207	115696	18.335	53.918	3.672874
49	448	10.078289	15.405002	0.081209	1.598292	27.162792	115696	21.749	15.254166	10.943668	115696	18.713	50.583	3.595707
50	279	10.046166	15.553794	0.075707	1.524875	27.200542	115696	21.333	15.407916	11.005001	115696	17.837	51.124	3.702835
51	16566	10.051416	15.463917	0.075376	1.487791	27.0785	115696	22.376	15.313875	10.987001	115696	18.166	51.166	3.60892
52	13	10.09004	15.522382	0.07537	1.496875	27.184667	115696	21.21	15.370082	10.985333	115696	19.125	51.663	3.648453
53	22406	10.191663	15.448913	0.076466	2.960208	28.67725	115696	20.916	15.300335	10.927207	115696	18.539	51.083	3.655045
54	11	10.281792	15.479047	0.076327	1.473167	27.310333	115696	20.956	15.332417	10.919165	115696	18.166	50.332	3.687628
55	10339	10.251831	15.419542	0.077961	1.496999	27.246333	115696	21.246	15.264542	10.960249	115696	24.458	49.704	3.580917
56	3170	10.329502	15.539666	0.077665	1.551501	27.498334	115696	21.209	15.389084	10.963211	115696	18.834	51.085	3.71917
57	279	10.289127	15.432918	0.076913	2.278917	28.077875	115696	21.792	15.282086	10.870121	115696	19.209	50.919	3.684589
58	12884	10.380127	15.436456	0.077084	1.514874	27.408541	115696	22.871	15.282748	10.94625	115696	22.67	51.583	3.62358
59	374	10.304127	15.804084	0.075498	1.526124	27.709833	115696	20.791	15.657086	10.938998	115696	18.706	50.543	3.979086
60	6303	10.556289	15.542127	0.086167	2.258959	28.443542	115696	21.872	15.390167	10.850665	115696	18.126	52.04	3.806333
61	11	10.622292	15.495169	0.080581	1.475833	27.673875	115696	21.207	15.345457	10.942712	115696	21.996	53.039	3.646665
62	2670	10.575206	15.632084	0.076585	1.521292	27.805167	115696	22.169	15.486913	11.019958	115696	18.794	50.456	3.744664
63	1246	10.52629	15.411961	0.077041	1.500999	27.516291	115696	22.166	15.259623	10.906334	115696	23.0	49.251	3.645707
64	39020	10.595082	15.417581	0.079587	1.622541	27.714791	115696	22.042	15.270998	10.887248	115696	18.961	47.915	3.674287
65	83161	10.654459	15.667415	0.077085	1.524416	27.923375	115696	22.0	15.51617	10.986623	115696	23.959	50.834	3.817749
