position	token	attention_ms	ffn_provider_ms	reentry_ms	other_ms	total_ms	request_bytes	encode_us	roundtrip_ms	remote_ffn_ms	response_bytes	decode_us	worker_encode_us	transport_remainder_ms
27	3217	21.313833	43.762628	0.564706	8.498	74.139167	349384	95.457	43.355914	36.298876	349384	49.914	130.458	5.941043
28	506	19.420833	41.280209	0.621041	6.151167	67.47325	349384	86.709	40.878914	33.703422	349384	49.415	136.414	6.051913
29	7217	19.127501	41.927503	0.613621	6.267958	67.936583	349384	85.709	41.528043	34.497875	349384	62.586	122.582	5.998916
30	7412	19.451622	40.927668	0.620876	6.138792	67.138958	349384	93.501	40.509498	33.383541	349384	72.707	119.747	6.094209
31	3730	19.073792	42.844957	0.669001	6.113666	68.701416	349384	109.751	42.437289	35.555918	349384	55.375	122.747	5.831205
32	236764	19.395997	41.938125	0.700794	6.081084	68.116	349384	82.832	41.508873	33.877793	349384	53.542	120.587	6.525751
33	2918	19.291999	41.895248	0.689545	6.092541	67.969333	349384	81.792	41.485833	34.159788	349384	52.084	122.957	6.217294
34	684	19.530709	41.809832	0.698375	6.059043	68.097959	349384	91.626	41.414378	34.074704	349384	52.251	123.5	6.267169
35	2918	19.157041	41.553417	0.663083	6.136834	67.510375	349384	71.087	41.166004	33.996164	349384	47.957	121.545	6.112543
36	236761	19.598165	41.565585	0.631333	6.085625	67.880708	349384	82.334	41.185082	34.024376	349384	56.96	125.168	6.079329
37	1030	19.398041	42.104497	0.699879	6.121333	68.32375	349384	73.382	41.717129	34.583708	349384	48.253	121.5	6.093548
38	236789	19.560165	41.379252	0.640458	6.096416	67.676291	349384	94.293	40.985587	33.759001	349384	54.127	125.751	6.145046
39	236751	20.020292	41.037083	0.658958	6.084875	67.801208	349384	76.871	40.645287	33.620039	349384	53.045	117.371	5.968369
40	496	19.962498	41.027253	0.649333	6.088624	67.727708	349384	80.959	40.646877	33.572707	349384	49.374	127.294	5.961581
41	27858	19.730789	42.108332	0.646587	6.110708	68.596416	349384	110.833	41.688083	34.60175	349384	49.21	123.794	6.023292
42	20284	19.591457	41.119416	0.633002	6.090209	67.434084	349384	81.582	40.741209	33.528121	349384	47.541	120.001	6.142212
43	49035	19.666333	41.331504	0.676538	6.118125	67.7925	349384	89.957	40.946212	34.054418	349384	52.165	118.916	5.850254
44	528	19.844124	41.752956	0.619129	6.086666	68.302875	349384	82.417	41.362672	34.258959	349384	46.0	118.995	6.070256
45	16505	19.671583	41.336537	0.658088	6.096917	67.763125	349384	84.381	40.943371	33.739542	349384	52.5	119.586	6.1222
46	236888	19.672168	40.924835	0.699705	6.064042	67.36075	349384	76.38	40.551381	33.328041	349384	48.458	122.626	6.150716
47	108	19.783832	40.704998	0.639628	6.101625	67.230083	349384	82.251	40.310167	33.364499	349384	54.502	117.042	5.896711
48	1018	20.107334	40.493041	0.638417	6.089625	67.328417	349384	83.917	40.086998	33.207832	349384	51.457	121.373	5.837205
49	236770	20.099249	40.803747	0.695504	6.14725	67.74575	349384	85.416	40.404912	33.507664	349384	53.749	123.087	5.843283
50	236761	19.995249	41.791249	0.616835	6.075876	68.479209	349384	73.748	41.416003	34.421541	349384	51.459	119.334	5.957003
51	146430	19.942084	42.223	0.675999	6.089334	68.930417	349384	73.042	41.852957	34.671163	349384	50.709	127.629	6.115375
52	236787	20.309421	42.118042	0.664537	6.075625	69.167625	349384	80.751	41.723873	34.601665	349384	59.874	120.503	6.036001
53	1030	20.474375	42.118375	0.637292	6.132416	69.362458	349384	89.001	41.721875	34.438667	349384	51.705	126.832	6.234169
54	236789	20.553164	42.55942	0.6555	6.092374	69.860458	349384	89.25	42.142085	34.329003	349384	64.461	121.835	6.72142
55	236751	20.508334	43.220791	0.681833	6.182792	70.59375	349384	86.751	42.428833	34.980705	349384	58.54	125.044	6.437003
56	3790	20.442463	41.322669	0.644243	6.110709	68.520084	349384	90.502	40.911666	33.745083	349384	58.999	123.459	6.135415
57	5393	20.590625	41.583671	0.659454	6.098458	68.932208	349384	97.874	41.154747	33.536792	349384	61.992	123.75	6.515121
58	7286	20.378954	41.74854	0.677381	6.106083	68.910958	349384	80.418	41.340669	33.927793	349384	62.5	127.001	6.30463
59	1018	20.86875	41.472709	0.659958	6.097917	69.099334	349384	73.123	41.058293	33.754835	349384	73.874	122.793	6.227169
60	108	20.543629	41.242543	0.665245	6.211417	68.662834	349384	94.375	40.842832	33.485375	349384	53.792	123.789	6.291748
61	236829	20.81837	41.564793	0.600753	6.108042	69.091958	349384	76.626	41.163667	33.944753	349384	66.665	119.165	6.167459
62	5213	21.065626	40.803459	0.638624	6.323624	68.831333	349384	90.621	40.394042	33.172331	349384	62.374	123.292	6.105456
63	7131	20.744168	41.217208	0.667999	6.137916	68.767291	349384	72.081	40.821963	33.377293	349384	54.623	124.579	6.371628
64	10847	21.296999	42.019706	0.710211	6.190459	70.217375	349384	103.878	41.593086	34.436627	349384	59.13	134.874	6.054919
65	53121	21.029581	41.465541	0.666836	6.211126	69.373084	349384	78.624	41.078835	33.898042	349384	56.627	123.709	6.126457
